2026-07-04 10:54:42,948 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 10:54:42,981 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 10:54:42,982 | INFO | src.data_validator | Starting dataset validation.
2026-07-04 10:54:42,982 | ERROR | src.data_validator | Missing required columns: ['ticket_id', 'subject', 'description', 'priority', 'department']
2026-07-04 10:56:33,259 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 10:56:33,292 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 10:56:33,293 | INFO | src.data_validator | Starting dataset validation.
2026-07-04 10:56:33,293 | ERROR | src.data_validator | Missing required columns: ['ticket_id', 'subject', 'description', 'priority', 'department']
2026-07-04 10:56:38,535 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 10:56:38,567 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 10:56:38,567 | INFO | src.data_validator | Starting dataset validation.
2026-07-04 10:56:38,568 | ERROR | src.data_validator | Missing required columns: ['ticket_id', 'subject', 'description', 'priority', 'department']
2026-07-04 11:02:40,760 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 11:02:40,791 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 11:02:40,792 | INFO | src.data_validator | Starting dataset validation.
2026-07-04 11:02:40,792 | ERROR | src.data_validator | Missing required columns: ['ticket_id', 'subject', 'description', 'priority', 'department']
2026-07-04 11:07:55,783 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 11:07:55,814 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 11:07:55,815 | INFO | src.data_validator | Starting dataset validation.
2026-07-04 11:07:55,815 | ERROR | src.data_validator | Missing required columns: ['ticket_id', 'subject', 'description', 'priority', 'department']
2026-07-04 11:08:07,984 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 11:08:08,016 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 11:08:08,016 | INFO | src.data_validator | Starting dataset validation.
2026-07-04 11:08:08,017 | ERROR | src.data_validator | Missing required columns: ['ticket_id', 'subject', 'description', 'priority', 'department']
2026-07-04 11:13:15,788 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 11:13:15,821 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 11:17:51,717 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 11:17:51,748 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 11:18:06,111 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 11:18:06,142 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 11:18:06,144 | INFO | src.data_validator | Starting dataset validation.
2026-07-04 11:18:06,144 | INFO | src.data_validator | All required columns are present.
2026-07-04 11:18:06,147 | INFO | src.data_validator | No missing values found.
2026-07-04 11:18:06,148 | INFO | src.data_validator | No duplicate Ticket IDs found.
2026-07-04 11:18:06,149 | ERROR | src.data_validator | Invalid priority values: ['Critical']
2026-07-04 11:20:18,725 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 11:20:18,761 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 11:20:18,762 | INFO | src.data_validator | Starting dataset validation.
2026-07-04 11:20:18,762 | INFO | src.data_validator | All required columns are present.
2026-07-04 11:20:18,765 | INFO | src.data_validator | No missing values found.
2026-07-04 11:20:18,765 | INFO | src.data_validator | No duplicate Ticket IDs found.
2026-07-04 11:20:18,766 | INFO | src.data_validator | Priority values are valid.
2026-07-04 11:20:18,767 | INFO | src.data_validator | Ticket types are valid.
2026-07-04 11:20:18,769 | ERROR | src.data_validator | Invalid status values: ['Pending Customer Response']
2026-07-04 11:21:05,493 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 11:21:05,526 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 11:21:12,635 | INFO | src.data_loader | Loading dataset: ..\data\raw\customer_support_tickets.csv
2026-07-04 11:21:12,670 | INFO | src.data_loader | Dataset loaded successfully (8469 rows, 17 columns)
2026-07-04 11:21:12,672 | INFO | src.data_validator | Starting dataset validation.
2026-07-04 11:21:12,672 | INFO | src.data_validator | All required columns are present.
